Qty,Value,Parts,DigiKey
1,1µF,C23,732-7625-1-ND
3,0.1µF,C17 C18 C22,732-8109-1-ND
2,0.33µF,C21 C24,732-8058-1-ND
6,1000pF,C13 C14 C15 C16 C19 C20,732-8050-1-ND
6,390pF,C4 C8 C9 C10 C12 C25,720-VJ0805D391KXCAJCT-ND
1,82kΩ,R1,118-CR1206-FX-8202ELFCT-ND
7,10kΩ,R5 R6 R7 R11 R12 R13 R14,CR1206-FX-1002ELFCT-ND
1,1kΩ,R8,CR1206-FX-1001ELFCT-ND
1,430Ω,R2,118-CR1206-FX-4300ELFCT-ND
1,300Ω,R3,CR1206-FX-3000ELFTR-ND
1,130Ω,R4,118-CR1206-FX-1300ELFCT-ND
2,100Ω,R9 R10,CR1206-FX-1000ELFCT-ND
1,1000µH,L7,587-2041-1-ND
6,BLM21,FB1 FB2 FB3 FB4 FB5 FB6,541-2293-1-ND
2,0603ESDA2,D1 D4,283-0603ESDA2-TR2CT-ND
1,50mA,F1,283-3132-1-ND
2,1N4148,D2 D3,1801-1N4148WSR9GCT-ND
1,SN74AHC-AND,Q4,296-8743-1-ND
1,SN74AHC-NOR,Q1,296-11598-1-ND
1,UMD5N,Q2,UMD5NCT-ND
1,MMBTRA104SS,T1,4878-MMBTRA104SSCT-ND
1,BFP460,Q5,BFP460H6327XTSA1CT-ND
1,L78L05,Q6,497-1182-1-ND
1,NCP553,Q7,NCP553SQ30T1GOSCT-ND
6,PE4259,RF Switches,1046-1011-1-ND
2,TE 1462051-4,RL1 RL2,PB2069CT-ND
1,Cap Kit,RF Capacitors,712-1370-ND
1,Ind Kit,RF Inductors,712-1545-ND
2,SO-239,X1 X2,3985-PE44060-ND
